Year,Family,Genus,Reported.Taxon,Quantity,Unit,Importer,Exporter,Origin,Purpose,Source,Reporter.Type,import_permit_hash,export_permit_hash,origin_permit_hash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,30.3,kg,HK,AU,,T,W,I,,e436a1c81a256b3f79c28cf68279cc4c2a0f6267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Sphyrnidae,Sphyrna,Sphyrna lewini,135.5,kg,HK,AU,,T,W,E,,e436a1c81a256b3f79c28cf68279cc4c2a0f6267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,135.5,kg,HK,AU,,T,W,I,,e436a1c81a256b3f79c28cf68279cc4c2a0f6267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Sphyrnidae,Sphyrna,Sphyrna mokarran,30.3,kg,HK,AU,,T,W,E,,e436a1c81a256b3f79c28cf68279cc4c2a0f6267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,1056.1,kg,HK,ID,,T,W,I,,23d0f07a951f74ea3fa91e54663856b5f724886f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Sphyrnidae,Sphyrna,Sphyrna lewini,116.03,kg,HK,ID,,T,W,I,,27ba3c1d572ab5c732f674def79304accc7709cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Sphyrnidae,Sphyrna,Sphyrna mokarran,18,kg,HK,ID,,T,W,I,,27ba3c1d572ab5c732f674def79304accc7709cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Sphyrnidae,Sphyrna,Sphyrna zygaena,3,kg,HK,ID,,T,W,I,,27ba3c1d572ab5c732f674def79304accc7709cf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,239.9,kg,HK,YE,,T,W,E,,3e9ce3a90bf11c23262c8897261ea55c8da45bfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Carcharhinidae,Carcharhinus,Carcharhinus falciformis,239.9,kg,HK,YE,,T,W,E,,3e9ce3a90bf11c23262c8897261ea55c8da45bfe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
